,INDEX,TICKS,BROOD,HEIGHT,YEAR,LOCATION,cHEIGHT,HeightGroup
1,1,0,501,465,95,32,2.759305211,450-499
2,2,0,501,465,95,32,2.759305211,450-499
3,3,0,502,472,95,36,9.759305211,450-499
4,4,0,503,475,95,37,12.75930521,450-499
5,5,0,503,475,95,37,12.75930521,450-499
6,6,3,503,475,95,37,12.75930521,450-499
7,7,2,503,475,95,37,12.75930521,450-499
8,8,0,504,488,95,44,25.75930521,450-499
9,9,0,504,488,95,44,25.75930521,450-499
10,10,2,504,488,95,44,25.75930521,450-499
11,11,0,505,492,95,47,29.75930521,450-499
12,12,0,505,492,95,47,29.75930521,450-499
13,13,0,505,492,95,47,29.75930521,450-499
14,14,0,506,490,95,45,27.75930521,450-499
15,15,0,506,490,95,45,27.75930521,450-499
16,16,0,506,490,95,45,27.75930521,450-499
17,17,0,507,464,95,31,1.759305211,450-499
18,18,0,507,464,95,31,1.759305211,450-499
19,19,0,507,464,95,31,1.759305211,450-499
20,20,1,507,464,95,31,1.759305211,450-499
21,21,2,507,464,95,31,1.759305211,450-499
22,22,1,509,457,95,28,-5.240694789,450-499
23,23,0,510,457,95,28,-5.240694789,450-499
24,24,0,511,457,95,28,-5.240694789,450-499
25,25,5,511,457,95,28,-5.240694789,450-499
26,26,8,512,451,95,26,-11.24069479,450-499
27,27,3,512,451,95,26,-11.24069479,450-499
28,28,4,512,451,95,26,-11.24069479,450-499
29,29,7,513,437,95,17,-25.24069479,400-449
30,30,0,513,437,95,17,-25.24069479,400-449
31,31,4,513,437,95,17,-25.24069479,400-449
32,32,4,514,430,95,14,-32.24069479,400-449
33,33,1,514,430,95,14,-32.24069479,400-449
34,34,0,514,430,95,14,-32.24069479,400-449
35,35,0,514,430,95,14,-32.24069479,400-449
36,36,3,514,430,95,14,-32.24069479,400-449
37,37,1,514,430,95,14,-32.24069479,400-449
38,38,6,515,427,95,13,-35.24069479,400-449
39,39,0,515,427,95,13,-35.24069479,400-449
40,40,1,515,427,95,13,-35.24069479,400-449
